id,bank_type,bank_name,bank_name_full,bank_name_short,bank_name_en,is_,备注,search_key,is_tag
1,政策性银行,国开行浙江省分行,国家开发银行,国家开发银行,CDB,1,,国家开发银行,
2,政策性银行,进出口行浙江省分行,中国进出口银行,中国进出口银行,EIBC,1,,进出口银行,
3,政策性银行,农发行浙江省分行,农业发展银行,中国农业发展银行,ADBC,1,,农业发展银行,
4,大型商业银行,工商银行浙江省分行(含全省除宁波),中国工商银行股份有限公司,中国工商银行,ICBC,1,,工商银行,
5,大型商业银行,农业银行浙江省分行(含全省),中国农业银行股份有限公司,中国农业银行,ABC,1,,农业银行,
6,大型商业银行,中国银行浙江省分行(含全省除宁波),中国银行股份有限公司,中国银行,BOC,1,,中国银行,
7,大型商业银行,建设银行浙江省分行(含全省除宁波),中国建设银行股份有限公司,中国建设银行,CCB,1,,建设银行,
8,大型商业银行,交通银行浙江省分行(含全省除宁波),中国交通银行股份有限公司,中国交通银行,COMM,1,,交通银行,1
9,邮政储蓄银行,邮储银行浙江省分行(含全省除宁波),中国邮政储蓄银行股份有限公司,中国邮储银行,PSBC,1,,邮政储蓄,1
10,股份制商业银行,中信银行杭州分行(含全省除宁波),中信银行股份有限公司,中信银行,CTBK,1,,中信银行,
11,股份制商业银行,光大银行杭州分行(含全省除宁波),中国光大银行股份有限公司,光大银行,CEB,1,,光大银行,
12,股份制商业银行,华夏银行杭州分行(含全省除温州绍兴),华夏银行股份有限公司,华夏银行,HXB,1,,华夏银行,
13,股份制商业银行,广发银行杭州分行(含全省除宁波),广发银行股份有限公司,广发银行,GDB,1,,广发银行,
14,股份制商业银行,平安银行杭州分行(含全省除温州宁波),平安银行股份有限公司,平安银行,PAB,1,,平安银行,
15,股份制商业银行,招商银行杭州分行(含全省除温州台州宁波),招商银行股份有限公司,招商银行,CMB,1,,招商银行,
16,股份制商业银行,浦发银行杭州分行(含全省除台州宁波),上海浦东发展银行股份有限公司,浦发银行,SPDB,1,,浦东发展,1
17,股份制商业银行,兴业银行杭州分行(含全省除宁波),兴业银行股份有限公司,兴业银行,CIB,1,,兴业银行,
18,股份制商业银行,中国民生银行杭州分行(含全省除温州宁波),中国民生银行股份有限公司,民生银行,CMBC,1,,民生银行,
19,股份制商业银行,恒丰银行杭州分行(含全省除宁波),恒丰银行股份有限公司,恒丰银行,HFB,1,,恒丰银行,
20,股份制商业银行,浙商银行(法人),浙商银行股份有限公司,浙商银行,CZB,1,,浙商银行,
21,股份制商业银行,渤海银行杭州分行(含全省除宁波),渤海银行股份有限公司,渤海银行,CBHB,1,,渤海银行,
22,城商行法人,杭州银行(法人),杭州银行股份有限公司,杭州银行,HZB,1,,杭州银行,
23,城商行法人,温州银行(法人),温州银行股份有限公司,温州银行,WZB,1,,温州银行,
24,城商行法人,嘉兴银行(法人),嘉兴银行股份有限公司,嘉兴银行,JXCB,1,,嘉兴银行,
25,城商行法人,湖州银行(法人),湖州银行股份有限公司,湖州银行,HZCB,1,,湖州银行,
26,城商行法人,绍兴银行(法人),绍兴银行股份有限公司,绍兴银行,SXB,1,,绍兴银行,
27,城商行法人,金华银行(法人),金华银行股份有限公司,金华银行,JHB,1,,金华银行,
28,城商行法人,稠州银行(法人),浙江稠州商业银行股份有限公司,稠州银行,CZCB,1,,稠州商业银行,1
29,城商行法人,台州银行(法人),台州银行股份有限公司,台州银行,TZB,1,,台州银行,
30,城商行法人,泰隆银行(法人),浙江泰隆商业银行股份有限公司,泰隆银行,TLCB,1,,泰隆银行,
补,城商行法人,泰隆银行(法人),例：浙江泰隆商业银行股份有限公司龙游塔石社区支行,泰隆银行,TLCB,,,泰隆商业银行,
31,城商行法人,民泰银行(法人),浙江民泰商业银行股份有限公司,民泰银行,ZMCB,1,,民泰商业银行,1
32,城商行分支,宁波银行杭州分行,宁波银行股份有限公司,宁波银行,NBB,1,,宁波银行,
33,城商行分支,上海银行杭州分行(含全省除宁波),上海银行股份有限公司,上海银行,SHB,1,,上海银行,
34,城商行分支,北京银行杭州分行(含全省除宁波),北京银行股份有限公司,北京银行,BJB,1,,北京银行,
35,城商行分支,南京银行杭州分行,南京银行股份有限公司,南京银行,NJCB,1,,南京银行,
36,城商行分支,江苏银行杭州分行,江苏银行股份有限公司,江苏银行,JSB,1,,江苏银行,
37,城商行分支,福建海峡银行温州分行,福建海峡银行股份有限公司,福建海峡银行,FHB,1,,福建海峡银行,
38,城商行分支,宁波通商银行杭州分行,宁波通商银行股份有限公司,宁波通商银行,NCB,1,,宁波通商银行,
39,民营银行法人,网商银行,浙江网商银行股份有限公司,网商银行,MYB,1,,网商银行,
40,民营银行法人,民商银行,温州民商银行股份有限公司,民商银行,MSB,1,,民商银行,
41,省级联社法人,浙江省联社,浙江省农村信用社联合社,浙江省联社,RCU,2,,农村信用合作联社,
补,省级联社法人,浙江省联社,例：浙江兰溪农村商业银行股份有限公司城南支行张坑分理处,浙江省联社,RCU,2,,农村商业银行,补
补,省级联社法人,浙江省联社,例：浙江省农村信用社联合社,浙江省联社,RCU,2,,农村信用社联合社,
42,村镇银行法人,浙江建德湖商村镇银行,浙江建德湖商村镇银行股份有限公司,浙江建德湖商村镇银行,RB01,1,,建德湖商村镇银行,
43,村镇银行法人,浙江桐庐恒丰村镇银行,浙江桐庐恒丰村镇银行股份有限公司,浙江桐庐恒丰村镇银行,RB02,1,,桐庐恒丰村镇银行,
44,村镇银行法人,浙江临安中信村镇银行,浙江临安中信村镇银行股份有限公司,浙江临安中信村镇银行,RB03,1,,临安中信村镇银行,
45,村镇银行法人,浙江淳安中银富登村镇银行,浙江淳安中银富登村镇银行有限责任公司,浙江淳安中银富登村镇银行,RB04,1,,淳安中银富登村镇银行,
45,村镇银行法人,浙江淳安中银富登村镇银行,浙江淳安中银富登村镇银行有限责任公司,浙江淳安中银富登村镇银行,RB04,1,,淳安中银富登村镇银行,
46,村镇银行法人,浙江余杭德商村镇银行,浙江余杭德商村镇银行股份有限公司,浙江余杭德商村镇银行,RB05,1,,余杭德商村镇银行,
47,村镇银行法人,浙江萧山湖商村镇银行,浙江萧山湖商村镇银行股份有限公司,浙江萧山湖商村镇银行,RB06,1,,萧山湖商村镇银行,
48,村镇银行法人,浙江富阳恒通村镇银行,浙江富阳恒通村镇银行股份有限公司,浙江富阳恒通村镇银行,RB07,1,,富阳恒通村镇银行,
49,资金互助社法人,浙江大同桑盈互助社,建德市大同镇桑盈农村资金互助社,浙江大同桑盈互助社,,0,,大同镇桑盈,
50,村镇银行法人,浙江永嘉恒升村镇银行,浙江永嘉恒升村镇银行股份有限公司,浙江永嘉恒升村镇银行,RB08,1,,永嘉恒升村镇银行,
51,村镇银行法人,浙江苍南中银富登村镇银行,浙江苍南中银富登村镇银行股份有限公司,浙江苍南中银富登村镇银行,RB09,1,,苍南中银富登村镇银行,
52,村镇银行法人,浙江乐清联合村镇银行,浙江乐清联合村镇银行股份有限公司,浙江乐清联合村镇银行,RB10,1,,乐清联合村镇银行,
53,村镇银行法人,浙江文成北银村镇银行,浙江文成北银村镇银行股份有限公司,浙江文成北银村镇银行,RB11,1,,文成北银村镇银行,
54,村镇银行法人,浙江平阳浦发村镇银行,浙江平阳浦发村镇银行股份有限公司,浙江平阳浦发村镇银行,RB12,1,,平阳浦发村镇银行,
55,村镇银行法人,浙江泰顺温银村镇银行,浙江泰顺温银村镇银行股份有限公司,浙江泰顺温银村镇银行,RB13,1,,泰顺温银村镇银行,
56,村镇银行法人,浙江洞头富民村镇银行,浙江洞头富民村镇银行股份有限公司,浙江洞头富民村镇银行,RB14,1,,洞头富民村镇银行,
57,村镇银行法人,浙江瑞安湖商村镇银行,浙江瑞安湖商村镇银行股份有限公司,浙江瑞安湖商村镇银行,RB15,1,,瑞安湖商村镇银行,
58,资金互助社法人,浙江马屿汇民互助社,瑞安市马屿镇汇民农村资金互助社,浙江马屿汇民互助社,,0,,马屿镇汇民,1
59,村镇银行法人,浙江嘉善联合村镇银行,浙江嘉善联合村镇银行股份有限公司,浙江嘉善联合村镇银行,RB16,1,,嘉善联合村镇银行,
60,村镇银行法人,浙江平湖工银村镇银行,浙江平湖工银村镇银行股份有限公司,浙江平湖工银村镇银行,RB17,1,,平湖工银村镇银行,
61,村镇银行法人,浙江桐乡民泰村镇银行,浙江桐乡民泰村镇银行股份有限公司,浙江桐乡民泰村镇银行,RB18,1,,桐乡民泰村镇银行,
62,村镇银行法人,浙江秀洲德商村镇银行,浙江秀洲德商村镇银行股份有限公司,浙江秀洲德商村镇银行,RB19,1,,秀洲德商村镇银行,
63,村镇银行法人,浙江海盐湖商村镇银行,浙江海盐湖商村镇银行股份有限公司,浙江海盐湖商村镇银行,RB20,1,,海盐湖商村镇银行,
64,村镇银行法人,浙江海宁德商村镇银行,浙江海宁德商村镇银行股份有限公司,浙江海宁德商村镇银行,RB21,1,,海宁德商村镇银行,
65,资金互助社法人,浙江平湖新当湖互助社,平湖市当湖街道新当湖农村资金互助社,浙江平湖新当湖互助社,,0,,新当湖农村资金互助社,
66,村镇银行法人,浙江长兴联合村镇银行,浙江长兴联合村镇银行股份有限公司,浙江长兴联合村镇银行,RB22,1,,长兴联合村镇银行,
67,村镇银行法人,浙江安吉交银村镇银行,浙江安吉交银村镇银行股份有限公司,浙江安吉交银村镇银行,RB23,1,,安吉交银村镇银行,
68,村镇银行法人,浙江德清湖商村镇银行,浙江德清湖商村镇银行股份有限公司,浙江德清湖商村镇银行,RB24,1,,德清湖商村镇银行,
69,资金互助社法人,浙江乾元德农互助社,德清县乾元镇德农农村资金互助社,浙江乾元德农互助社,,0,,乾元镇德农,1
70,村镇银行法人,浙江嵊州瑞丰村镇银行,浙江嵊州瑞丰村镇银行股份有限公司,浙江嵊州瑞丰村镇银行,RB25,1,,嵊州瑞丰村镇银行,
71,村镇银行法人,浙江新昌浦发村镇银行,浙江新昌浦发村镇银行股份有限公司,浙江新昌浦发村镇银行,RB26,1,,新昌浦发村镇银行,
72,村镇银行法人,浙江柯桥联合村镇银行,浙江柯桥联合村镇银行股份有限公司,浙江柯桥联合村镇银行,RB27,1,,柯桥联合村镇银行,
73,村镇银行法人,浙江诸暨联合村镇银行,浙江诸暨联合村镇银行股份有限公司,浙江诸暨联合村镇银行,RB28,1,,诸暨联合村镇银行,
74,村镇银行法人,浙江上虞富民村镇银行,浙江上虞富民村镇银行股份有限公司,浙江上虞富民村镇银行,RB29,1,,上虞富民村镇银行,
75,村镇银行法人,浙江武义建信村镇银行,浙江武义中银富登村镇银行有限责任公司,浙江武义建信村镇银行,RB30,1,,武义中银富登村镇银行,i
76,村镇银行法人,浙江兰溪越商村镇银行,浙江兰溪越商村镇银行股份有限公司,浙江兰溪越商村镇银行,RB31,1,,兰溪越商村镇银行,
77,村镇银行法人,浙江浦江嘉银村镇银行,浙江浦江嘉银村镇银行股份有限公司,浙江浦江嘉银村镇银行,RB32,1,,浦江嘉银村镇银行,
78,村镇银行法人,浙江磐安婺商村镇银行,浙江磐安婺商村镇银行股份有限公司,浙江磐安婺商村镇银行,RB33,1,,磐安婺商村镇银行,
79,村镇银行法人,浙江永康农银村镇银行,浙江永康农银村镇银行有限责任公司,浙江永康农银村镇银行,RB34,1,,永康农银村镇银行,
80,村镇银行法人,浙江义乌联合村镇银行,浙江义乌联合村镇银行股份有限公司,浙江义乌联合村镇银行,RB35,1,,义乌联合村镇银行,
81,村镇银行法人,浙江东阳富民村镇银行,浙江东阳富民村镇银行股份有限公司,浙江东阳富民村镇银行,RB36,1,,东阳富民村镇银行,
82,村镇银行法人,浙江龙游义商村镇银行,浙江龙游义商村镇银行股份有限公司,浙江龙游义商村镇银行,RB37,1,,龙游义商村镇银行,
83,村镇银行法人,浙江常山联合村镇银行,浙江常山联合村镇银行股份有限公司,浙江常山联合村镇银行,RB38,1,,常山联合村镇银行,
84,村镇银行法人,浙江衢江上银村镇银行,浙江衢州衢江上银村镇银行股份有限公司,浙江衢江上银村镇银行,RB39,1,,衢江上银村镇银行,
85,村镇银行法人,浙江江山中银富登村镇银行,浙江江山中银富登村镇银行有限责任公司,浙江江山中银富登村镇银行,RB40,1,,江山中银富登村镇银行,
86,村镇银行法人,浙江玉环永兴村镇银行,浙江玉环永兴村镇银行有限责任公司,浙江玉环永兴村镇银行,RB41,1,,玉环永兴村镇银行,
87,村镇银行法人,浙江三门银座村镇银行,浙江三门银座村镇银行股份有限公司,浙江三门银座村镇银行,RB42,1,,三门银座村镇银行,
88,村镇银行法人,浙江临海湖商村镇银行,浙江临海湖商村镇银行股份有限公司,浙江临海湖商村镇银行,RB43,1,,临海湖商村镇银行,
89,村镇银行法人,浙江温岭联合村镇银行,浙江温岭联合村镇银行股份有限公司,浙江温岭联合村镇银行,RB44,1,,温岭联合村镇银行,
90,村镇银行法人,浙江天台民生村镇银行,浙江天台民生村镇银行股份有限公司,浙江天台民生村镇银行,RB45,1,,天台民生村镇银行,
91,村镇银行法人,浙江黄岩恒升村镇银行,浙江台州黄岩恒升村镇银行股份有限公司,浙江黄岩恒升村镇银行,RB46,1,,黄岩恒升村镇银行,
92,村镇银行法人,浙江路桥富民村镇银行,浙江台州路桥富民村镇银行股份有限公司,浙江路桥富民村镇银行,RB47,1,,路桥富民村镇银行,
93,村镇银行法人,浙江仙居富民村镇银行,浙江仙居富民村镇银行股份有限公司,浙江仙居富民村镇银行,RB48,1,,仙居富民村镇银行,
94,资金互助社法人,浙江涌泉互助社,临海市涌泉镇涌泉农村资金互助社,浙江涌泉互助社,,0,,涌泉互助社,
95,资金互助社法人,浙江温岭玉麟互助社,温岭市箬横镇玉麟农村资金互助社,浙江温岭玉麟互助社,,0,,温岭市箬横镇玉麟农村,i
96,村镇银行法人,浙江青田中银富登华侨村镇银行,浙江青田中银富登华侨村镇银行有限责任公司,浙江青田中银富登华侨村镇银行,RB49,1,,青田中银富登华侨村镇银行,
97,村镇银行法人,浙江庆元泰隆村镇银行,浙江庆元泰隆村镇银行股份有限公司,浙江庆元泰隆村镇银行,RB50,1,,庆元泰隆村镇银行,
98,村镇银行法人,浙江缙云联合村镇银行,浙江缙云联合村镇银行股份有限公司,浙江缙云联合村镇银行,RB51,1,,缙云联合村镇银行,
99,村镇银行法人,浙江龙泉民泰村镇银行,浙江龙泉民泰村镇银行股份有限公司,浙江龙泉民泰村镇银行,RB52,1,,龙泉民泰村镇银行,
100,村镇银行法人,浙江景宁银座村镇银行,浙江景宁银座村镇银行股份有限公司,浙江景宁银座村镇银行,RB53,1,,景宁银座村镇银行,
101,村镇银行法人,浙江莲都中银富登村镇银行,浙江丽水莲都中银富登村镇银行有限责任公司,浙江莲都中银富登村镇银行,RB54,1,,莲都中银富登村镇银行,
102,村镇银行法人,浙江遂昌富民村镇银行,浙江遂昌富民村镇银行股份有限公司,浙江遂昌富民村镇银行,RB55,1,,遂昌富民村镇银行,
103,村镇银行法人,浙江松阳恒通村镇银行,浙江松阳恒通村镇银行股份有限公司,浙江松阳恒通村镇银行,RB56,1,,松阳恒通村镇银行,
