id,prov,city,sys_no,stat,bank_code,bank_name,bank_name_abb,bank_addr,bank_addr_code,create_time,issue_time
8804,浙江,绍兴,653221,U,B0018U333060009,中国邮政储蓄银行股份有限公司新昌县城北营业所,中国邮政储蓄银行新昌县城北营业所,浙江省新昌县七星街道大道西路202号,312500,2008/6/19,2020/1/9
10885,浙江,金华,652276,U,B0158S333070049,浙江稠州商业银行股份有限公司金华婺城小微企业专营支行,浙江稠州商业银行金华婺城小微企业专营支行,金华市婺城区白龙桥镇工业街75号,,2020/1/8,2020/1/9
622,浙江,丽水,654036,U,B0018A333110008,中国邮政储蓄银行股份有限公司松阳县城东营业所,中国邮政储蓄银行松阳县城东营业所,浙江省丽水市松阳县西屏街道北山路19号,323400,2010/3/31,2020/1/8
1927,浙江,台州,654412,U,B0160S333100117,浙江泰隆商业银行股份有限公司玉环大麦屿小微企业专营支行,浙江泰隆商业银行玉环大麦屿小微企业专营支行,浙江省玉环市大麦屿街道兴港西路546、548、550号1层,317604,2020/1/6,2020/1/7
1928,浙江,台州,654413,U,B0160S333100118,浙江泰隆商业银行股份有限公司温岭城西小微企业专营支行,浙江泰隆商业银行温岭城西小微企业专营支行,浙江省温岭市城西街道九龙大道920号,317500,2020/1/7,2020/1/7
7727,浙江,湖州,653827,U,B1139S333050046,浙江南浔农村商业银行股份有限公司南林支行,,浙江省湖州市南浔镇城南社区玉兰苑72幢118、119商铺,313009,2020/1/2,2020/1/7
7728,浙江,湖州,653828,U,B0160S333050019,浙江泰隆商业银行股份有限公司湖州和平小微企业专营支行,浙江泰隆商业银行湖州和平小微企业专营支行,浙江省湖州市长兴县和平镇永兴南路111-1号、111号201、111-2号、111号202、111-3号、111号203,313000,2020/1/7,2020/1/7
1923,浙江,台州,654408,U,B0006S333100005,中信银行股份有限公司台州玉环支行,中信银行台州玉环支行,浙江省玉环市玉城街道华鸿嘉园4幢7号,317600,2013/12/27,2020/1/6
1924,浙江,台州,654409,U,B0151S333100004,杭州银行股份有限公司台州黄岩院桥小微企业专营支行,杭州银行台州黄岩院桥小微企业专营支行,浙江省台州市黄岩区院桥镇兴华路211号1幢7号、8号、9号、206号、207号、208号,,2019/12/30,2020/1/6
1925,浙江,台州,654410,U,B0156S333100008,绍兴银行股份有限公司台州临海大田社区支行,绍兴银行台州临海大田社区支行,浙江省临海市大田街道奋进东街194幢196号、198号、200号、202号,,2019/12/31,2020/1/6
1926,浙江,台州,654411,U,B0156S333100009,绍兴银行股份有限公司台州温岭泽国社区支行,绍兴银行台州温岭泽国社区支行,浙江省温岭市泽国镇杭温北路1-7、1-8、1-9、1-10号,,2019/12/31,2020/1/6
2935,浙江,嘉兴,651234,U,B0151B333040001,杭州银行股份有限公司嘉兴分行,杭州银行嘉兴分行,浙江省嘉兴市常睦路278号,314001,2015/6/10,2020/1/6
8803,浙江,绍兴,653220,U,B0160S333060011,浙江泰隆商业银行股份有限公司嵊州甘霖小微企业专营支行,浙江泰隆商业银行嵊州甘霖小微企业专营支行,浙江省嵊州市甘霖镇秀山路366号、368号、370号、372号、376号、378号、380号、382号,,2020/1/2,2020/1/6
10884,浙江,金华,652275,U,B0157S333070096,金华银行股份有限公司青春社区支行,金华银行青春社区支行,浙江省金华市婺城区人民东路420号,,2019/12/31,2020/1/6
5535,浙江,浙江,722515,U,B0161S233010008,浙江民泰商业银行股份有限公司萧山瓜沥小微企业专营支行,浙江民泰商业银行萧山瓜沥小微企业专营支行,浙江省杭州市萧山区瓜沥镇东灵北路1号一层,311241,2013/7/10,2020/1/3
7095,浙江,温州,521191,U,B0707U333030004,浙江文成农村商业银行股份有限公司城东支行徐村分理处,文成农商银行城东支行徐村分理处,浙江省文成县大峃镇体育场路858号,325300,2016/1/22,2020/1/3
7096,浙江,温州,521192,U,B0707U333030008,浙江文成农村商业银行股份有限公司城东支行樟台分理处,文成农商银行城东支行樟台分理处,浙江省文成县大峃镇金都家园A幢01-03室,325300,2005/9/23,2020/1/3
7097,浙江,温州,521193,U,B0707S333030011,浙江文成农村商业银行股份有限公司城东支行,文成农商银行城东支行,浙江省文成县大峃镇城东大道银都花苑2幢,325300,2005/9/23,2020/1/3
7090,浙江,温州,521186,U,B0010S333030006,浙商银行股份有限公司温州乐清支行,浙商银行温州乐清支行,浙江省乐清市城东街道旭阳路瑞丰园1-2幢202室、112室,325000,2011/8/1,2020/1/2
7091,浙江,温州,521187,U,B0726S333030015,浙江平阳农村商业银行股份有限公司北港支行,平阳农商银行北港支行,浙江省温州市平阳县水头镇江山中路6号,325401,2014/1/24,2020/1/2
7092,浙江,温州,521188,U,B0726U333030016,浙江平阳农村商业银行股份有限公司海西支行,平阳农商银行海西支行,浙江省温州市平阳县海西镇宋埠客运中心一楼,325401,2005/7/7,2020/1/2
7093,浙江,温州,521189,U,B0708S333030004,浙江泰顺农村商业银行股份有限公司罗阳支行,,浙江省温州市泰顺县罗阳镇青草湾商住中心19、20幢108室、109室、110室,325500,2005/9/29,2020/1/2
7094,浙江,温州,521190,U,B0708U333030002,浙江泰顺农村商业银行股份有限公司罗阳支行城北分理处,,浙江省温州市泰顺县罗阳镇城北路83-89号一楼,325500,2011/10/31,2020/1/2
5531,浙江,浙江,722511,U,B0158S233010018,浙江稠州商业银行股份有限公司杭州滨江小微企业专营支行,浙江稠州商业银行杭州滨江小微企业专营支行,杭州市滨江区西兴街道滨盛路1501、1503、1505号银丰大厦203室,,2019/12/27,2019/12/31
5532,浙江,浙江,722512,U,B0001S233010174,中国工商银行股份有限公司淳安秀水支行,中国工商银行淳安秀水支行,浙江省杭州市淳安县千岛湖镇环湖北路3号11室,311700,2010/9/8,2019/12/31
5533,浙江,浙江,722513,U,B0001S233010211,中国工商银行股份有限公司杭州蒋村支行,中国工商银行杭州蒋村支行,浙江省杭州市西湖区晴川街425号,,2019/12/27,2019/12/31
5534,浙江,浙江,722514,U,B0107S233010021,北京银行股份有限公司杭州西兴社区支行,北京银行杭州西兴社区支行,杭州市滨江区西兴街道启智街845号,,2019/12/31,2019/12/31
7088,浙江,温州,521184,U,B0003S333030073,中国银行股份有限公司温州平阳敖江支行,中国银行温州平阳敖江支行,浙江省平阳县敖江镇新港大厦104、105、106室,325401,2012/5/8,2019/12/31
7089,浙江,温州,521185,U,B0708U333030007,浙江泰顺农村商业银行股份有限公司泗溪支行横坑分理处,泰顺农商银行泗溪支行横坑分理处,浙江省泰顺县泗溪镇建新村,325504,2005/9/29,2019/12/31
9630,浙江,衢州,654250,U,B0160S333080027,浙江泰隆商业银行股份有限公司龙游塔石社区支行,浙江泰隆商业银行龙游塔石社区支行,浙江省衢州市龙游县塔石镇塔石村塔兴路53-1、53-2、55-1、55-2号,324000,2019/12/31,2019/12/31
10880,浙江,金华,652271,U,B1559U333070010,浙江浦江农村商业银行股份有限公司城东支行江滨分理处,浦江农商银行城东支行江滨分理处,浙江省浦江县浦南街道蒋塘路284、286号,322200,2005/3/21,2019/12/31
10881,浙江,金华,652272,U,B0159S333070017,台州银行股份有限公司金华江北小微企业专营支行,台州银行金华江北小微企业专营支行,浙江省金华市劳动路3号祥和大厦101、102室,321000,2019/12/30,2019/12/31
10882,浙江,金华,652273,U,B0157S333070094,金华银行股份有限公司兰溪农产品交易城社区支行,金华银行兰溪农产品交易城社区支行,浙江省兰溪市环城西路1688号2号楼105、107营业房,,2019/12/27,2019/12/31
10883,浙江,金华,652274,U,B0157S333070095,金华银行股份有限公司浦江浦阳社区支行,金华银行浦江浦阳社区支行,浙江省金华市浦江县浦阳街道仙华路183号,,2019/12/31,2019/12/31
621,浙江,丽水,654035,U,B1669S333110012,浙江缙云农村商业银行股份有限公司溶溪支行,,缙云县溶江乡前溪村村北26号,321408,2005/6/10,2019/12/30
5526,浙江,浙江,722506,U,B0003S233010070,中国银行股份有限公司建德新广场支行,中国银行建德新广场支行,浙江省建德市新安江街道灵栖路3号、5号，溪头路193号、195号、197号,311600,2010/5/27,2019/12/30
5527,浙江,浙江,722507,U,B0015S233010027,上海浦东发展银行股份有限公司杭州雅仕苑社区支行,上海浦东发展银行杭州雅仕苑社区支行,杭州市西湖区文一西路151号-7,310013,2014/11/21,2019/12/30
5528,浙江,浙江,722508,U,B0004S233010079,中国建设银行股份有限公司杭州富春路支行,中国建设银行杭州富春路支行,浙江省杭州市江干区富春路891－895号,310020,2010/5/18,2019/12/30
5529,浙江,浙江,722509,U,B0004S233010118,中国建设银行股份有限公司杭州青山湖科技城支行,中国建设银行杭州青山湖科技城支行,浙江省杭州市临安区青山湖街道蒋墅街73、75号,311305,2002/11/18,2019/12/30
5530,浙江,浙江,722510,U,B0004S233010137,中国建设银行股份有限公司杭州石桥支行,中国建设银行杭州石桥支行,浙江省杭州市下城区费家塘路650、654号一楼商铺,310022,2001/11/5,2019/12/30
10879,浙江,金华,652270,U,B0010S333070002,浙商银行股份有限公司金华浦江支行,浙商银行金华浦江支行,浙江省浦江县广场东路111号,322200,2009/10/19,2019/12/30
5525,浙江,浙江,722505,U,B0161B233010001,浙江民泰商业银行股份有限公司杭州分行,浙江民泰商业银行杭州分行,浙江省杭州市江干区梁祝路18号祝锦大厦C楼1-5层,310005,2008/10/13,2019/12/27
8802,浙江,绍兴,653219,U,B0009S333060007,中国民生银行股份有限公司绍兴诸暨东福社区支行,中国民生银行绍兴诸暨东福社区支行,浙江省诸暨市浣东街道苎萝东路777号福田桃源居C11幢000105,311800,2019/12/26,2019/12/27
9628,浙江,衢州,654248,U,B1585U333080028,浙江衢州衢江农村商业银行股份有限公司行政服务中心分理处,,浙江省衢州市衢江区府前路8号,324000,2019/12/27,2019/12/27
9629,浙江,衢州,654249,U,B0158S333080003,浙江稠州商业银行股份有限公司衢州常山小微企业专营支行,浙江稠州商业银行衢州常山小微企业专营支行,常山县紫港街道东方广场1幢1-25号,324200,2019/12/24,2019/12/27
10876,浙江,金华,652267,U,B0006L333070002,中信银行股份有限公司金华分行,中信银行金华分行,金华市婺城区宾虹路999号置信大厦裙楼1-3层、主楼19-20层,322000,2019/12/26,2019/12/27
10877,浙江,金华,652268,U,B0157S333070092,金华银行股份有限公司永康石柱小微企业专营支行,金华银行永康石柱小微企业专营支行,浙江省永康市石柱镇新市街3幢5号、6号,,2019/12/25,2019/12/27
10878,浙江,金华,652269,U,B0157S333070093,金华银行股份有限公司东方前城社区支行,金华银行东方前城社区支行,浙江省金华市婺城区东市北街1459号,,2019/12/25,2019/12/27
5521,浙江,浙江,722501,U,L0274H233010001,传化集团财务有限公司,,杭州市萧山区宁围街道民和路939号浙江商会大厦2幢5层,,2019/12/24,2019/12/26
5522,浙江,浙江,722502,U,S0032S233010003,浙江桐庐恒丰村镇银行股份有限公司江南支行,,浙江省杭州市桐庐县江南镇集市路273、275、277号,,2019/12/20,2019/12/26
5523,浙江,浙江,722503,U,B0160S233010049,浙江泰隆商业银行股份有限公司桐庐桐君小微企业专营支行,浙江泰隆商业银行桐庐桐君小微企业专营支行,杭州市桐庐县县城体育场路40号、42号、44号，邮电路233号,,2019/12/18,2019/12/26
