index,values
20100101,2
20100102,1
20100103,1
20100109,1
20100110,1
20100116,1
20100117,1
20100123,1
20100124,1
20100130,1
20100131,1
20100206,1
20100207,1
20100213,2
20100214,2
20100215,2
20100216,1
20100217,1
20100218,1
20100219,1
20100227,1
20100228,1
20100306,1
20100307,1
20100313,1
20100314,1
20100320,1
20100321,1
20100327,1
20100328,1
20100403,1
20100404,1
20100405,2
20100410,1
20100411,1
20100417,1
20100418,1
20100424,1
20100425,1
20100501,2
20100502,1
20100508,1
20100509,1
20100515,1
20100516,1
20100522,1
20100523,1
20100529,1
20100530,1
20100605,1
20100606,1
20100614,1
20100615,1
20100616,2
20100619,1
20100620,1
20100626,1
20100627,1
20100703,1
20100704,1
20100710,1
20100711,1
20100717,1
20100718,1
20100724,1
20100725,1
20100731,1
20100801,1
20100807,1
20100808,1
20100814,1
20100815,1
20100821,1
20100822,1
20100828,1
20100829,1
20100904,1
20100905,1
20100911,1
20100912,1
20100918,1
20100922,2
20100923,1
20100924,1
20101001,2
20101002,2
20101003,2
20101004,1
20101005,1
20101006,1
20101007,1
20101010,1
20101016,1
20101017,1
20101023,1
20101024,1
20101030,1
20101031,1
20101106,1
20101107,1
20101113,1
20101114,1
20101120,1
20101121,1
20101127,1
20101128,1
20101204,1
20101205,1
20101211,1
20101212,1
20101218,1
20101219,1
20101225,1
20101226,1
20110101,2
20110102,1
20110103,1
20110108,1
20110109,1
20110115,1
20110116,1
20110122,1
20110123,1
20110129,1
20110202,2
20110203,2
20110204,2
20110205,1
20110206,1
20110207,1
20110208,1
20110213,1
20110219,1
20110220,1
20110226,1
20110227,1
20110305,1
20110306,1
20110312,1
20110313,1
20110319,1
20110320,1
20110326,1
20110327,1
20110403,1
20110404,1
20110405,2
20110409,1
20110410,1
20110416,1
20110417,1
20110423,1
20110424,1
20110430,1
20110501,2
20110502,1
20110507,1
20110508,1
20110514,1
20110515,1
20110521,1
20110522,1
20110528,1
20110529,1
20110604,1
20110605,1
20110606,2
20110611,1
20110612,1
20110618,1
20110619,1
20110625,1
20110626,1
20110702,1
20110703,1
20110709,1
20110710,1
20110716,1
20110717,1
20110723,1
20110724,1
20110730,1
20110731,1
20110806,1
20110807,1
20110813,1
20110814,1
20110820,1
20110821,1
20110827,1
20110828,1
20110903,1
20110904,1
20110910,1
20110911,1
20110912,2
20110917,1
20110918,1
20110924,1
20110925,1
20111001,2
20111002,2
20111003,2
20111004,1
20111005,1
20111006,1
20111007,1
20111015,1
20111016,1
20111022,1
20111023,1
20111029,1
20111030,1
20111105,1
20111106,1
20111112,1
20111113,1
20111119,1
20111120,1
20111126,1
20111127,1
20111203,1
20111204,1
20111210,1
20111211,1
20111217,1
20111218,1
20111224,1
20111225,1
20111231,1
20120101,2
20120102,1
20120103,1
20120107,1
20120108,1
20120114,1
20120115,1
20120122,2
20120123,2
20120124,2
20120125,1
20120126,1
20120127,1
20120128,1
20120204,1
20120205,1
20120211,1
20120212,1
20120218,1
20120219,1
20120225,1
20120226,1
20120303,1
20120304,1
20120310,1
20120311,1
20120317,1
20120318,1
20120324,1
20120325,1
20120402,1
20120403,1
20120404,2
20120407,1
20120408,1
20120414,1
20120415,1
20120421,1
20120422,1
20120429,1
20120430,1
20120501,2
20120505,1
20120506,1
20120512,1
20120513,1
20120519,1
20120520,1
20120526,1
20120527,1
20120602,1
20120603,1
20120609,1
20120610,1
20120616,1
20120617,1
20120622,1
20120623,2
20120624,1
20120630,1
20120701,1
20120707,1
20120708,1
20120714,1
20120715,1
20120721,1
20120722,1
20120728,1
20120729,1
20120804,1
20120805,1
20120811,1
20120812,1
20120818,1
20120819,1
20120825,1
